# Number of Zones: 1
# Number of Rooms: 1
# Simulation Duration: 120000 seconds
# Time Step: 600 seconds 
# Number of Time Instances: 200
# Thermal Capacity of Room (C): 2000 kJ/K 
# Thermal Capacity of SPOT Region (C_): 200 kJ/K 
# Heat Transfer Coefficient for Outside (alpha_o): 0.048 kJ/K.s 
# Heat Transfer Coefficient for Regions (alpha_r): 0.1425 kJ/K.s 
# Heat Load Due to Lightening and Equipments (Q_l): 0.1 kW 
# Heat Load Due to Presence of Occupants (Q_h): 0.1 kW 
# Heat Load of SPOT Unit (Q_s): 0.7 kW 
# Coefficient of Fan Power Consumption (fan_coef): 0.094
# Density of Air (density): 1.225 kg/m3 
# Specific Heat Capacity of Air (specific_heat): 1.003 kJ/kg.K 
# Parameter-1 of Learned PMV Model: 0.2466
# Parameter-2 of Learned PMV Model: 1.4075
# Parameter-3 of Learned PMV Model: 0.581
# Parameter-4 of Learned PMV Model: 5.4668
# Heating Efficiency of AHU: 0.9
# Cooling Efficiency of AHU: 0.9

S_{SPOT}^1, Occupancy^1, T_{HVAC}^1, T_{SPOT}^1, T_{NoSPOT}^1, DeltaT_{SPOT}^1, DeltaT_{NoSPOT}^1, PPV^1, T_{MixedAir}, T_{ext}, P_{AHU}
1, 1, 21, 21, 21, 0, 0, -0.2882, 17.8, 5, 1.53747
1, 1, 20.9655, 23.3655, 20.9655, 2.4, 0, 0.295125, 19.6924, 5, 1.4083
1, 1, 20.9321, 24.7061, 21.0461, 3.774, 0.114, 0.625719, 20.7649, 5, 1.33509
1, 1, 20.8998, 25.4604, 21.079, 4.56062, 0.179265, 0.811733, 21.3683, 5, 1.2939
1, 1, 20.8685, 25.8795, 21.0852, 5.01095, 0.216629, 0.915083, 21.7036, 5, 1.27101
1, 1, 20.8383, 26.1071, 21.0764, 5.26877, 0.23802, 0.971211, 21.8857, 5, 1.25858
1, 1, 20.8091, 26.2255, 21.0594, 5.41637, 0.250267, 1.0004, 21.9804, 5, 1.25212
1, 1, 20.7809, 26.2817, 21.0381, 5.50087, 0.257278, 1.01427, 22.0254, 5, 1.24905
1, 1, 20.7535, 26.3028, 21.0148, 5.54925, 0.261291, 1.01946, 22.0422, 5, 1.2479
1, 1, 20.7271, 26.304, 20.9907, 5.57695, 0.263589, 1.01977, 22.0432, 5, 1.24783
1, 1, 20.7015, 26.2943, 20.9664, 5.5928, 0.264905, 1.01738, 22.0355, 5, 1.24836
1, 1, 20.6768, 26.2787, 20.9424, 5.60188, 0.265658, 1.01352, 22.0229, 5, 1.24921
1, 1, 20.6529, 26.2599, 20.919, 5.60708, 0.266089, 1.0089, 22.008, 5, 1.25023
1, 1, 20.6297, 26.2398, 20.8961, 5.61005, 0.266336, 1.00393, 21.9918, 5, 1.25134
1, 1, 20.6074, 26.2191, 20.8738, 5.61175, 0.266477, 0.998837, 21.9753, 5, 1.25246
